Epoch,Training Loss,Validation Loss,Training Loss,Validation Loss,1 layer,2 layer,3 layer,4 layer,5 layer,12 layer,1 neuron,5 neuron,10 neuron,30 neuron
1,5.321423,4.347269,3.40571072,2.47052288,5.49837288,4.411098304,3.542878643,2.840702915,2.310962332,2.223470592,6.9536457,5.42600929,5.380281983,2.933971724
2,5.102125,4.047177,3.26536,2.25260992,5.26350992,4.229207936,3.405366349,2.742693079,2.220554463,2.027348928,6.924562,5.29403596,5.17114143,2.835250762
3,4.821239,3.347627,3.08559296,1.67092544,4.70407544,3.770860352,3.031088282,2.427270625,1.9442165,1.503832896,6.924632,5.01435372,4.68164501,2.558243944
4,4.652124,3.047587,2.97735936,1.43700384,4.44240384,3.575523072,2.888818458,2.329054766,1.884043813,1.293303456,6.712345,4.77737442,4.426146485,2.462709934
5,4.021627,2.34938,2.57384128,0.96848416,3.97013416,3.213707328,2.571765862,2.08661269,1.686090152,1.212357,6.55155124,4.4608427,3.992811295,2.241040662
6,4.021823,2.04649,2.57396672,0.67764704,3.67874704,2.962197632,2.392558106,1.946046484,1.580437188,1.143232,6.11462056,4.0966838,3.68323123,2.08368651
7,4.021203,2.007953,2.57356992,0.64084992,3.64459992,2.919279936,2.374223949,1.904179159,1.524943327,1.002152,6.06034988,4.0524749,3.646568665,2.030449642
8,3.024123,1.748767,1.93543872,0.71109696,3.71229696,2.971837568,2.378270054,1.919816044,1.548252835,0.936347,6.16404544,4.1381712,3.71876552,2.066236508
9,2.021293,1.547374,1.29362752,0.83866528,3.86891528,3.134332224,2.537865779,2.065492623,1.682794099,0.889446,6.36952292,4.3192191,3.881491235,2.210079099
10,1.421273,1.447347,0.90961472,0.9179584,3.9188584,3.15508672,2.537269376,2.062615501,1.662492401,0.82616256,6.4733876,4.396123,3.93817455,2.209218521
11,1.206219,1.347764,0.77198016,0.81727456,3.82522456,3.077379648,2.478303718,1.999842975,1.60867438,0.735547104,6.32548684,4.2753557,3.837757345,2.142010644
12,1.205206,1.340803,0.77133184,0.81472288,3.81972288,3.083778304,2.478222643,2.017378115,1.646302492,0.733250592,6.31978432,4.2697536,3.83223056,2.170992714
13,1.201547,1.357683,0.76899008,0.8189536,3.8526036,3.09328288,2.506626304,2.040501043,1.636800835,0.73705824,6.3400554,4.2963295,3.863535075,2.168706568
14,1.204874,1.300715,0.77111936,0.80178848,3.81168848,3.078950784,2.475560627,1.989648502,1.614118801,0.721609632,6.30203272,4.2568606,3.82298151,2.142667161
15,1.202551,1.327939,0.76963264,0.8097568,3.8403068,3.08984544,2.485076352,2.010861082,1.637888865,0.72878112,6.3239102,4.2821085,3.850757225,2.166732792
16,1.201426,1.561117,0.76891264,0.88401376,3.91641376,3.169531008,2.547224806,2.074579845,1.682463876,0.795612384,6.43582064,4.3761172,3.93133962,2.221194541
17,1.201509,1.237898,0.76896576,0.78061024,3.77886024,3.044288192,2.454630554,1.995704443,1.596963554,0.702549216,6.26324036,4.2210503,3.789407755,2.121780903
18,1.199782,1.37821,0.76786048,0.82495744,3.84065744,3.086125952,2.469700762,1.985360609,1.597888487,0.742461696,6.33808616,4.2893718,3.85283603,2.13618515
19,1.20435,1.303071,0.770784,0.80237472,3.82752472,3.100419776,2.519135821,2.020508657,1.637606925,0.722137248,6.30853708,4.2680309,3.837651265,2.16369172
